"","unique_id","ent_by","year","site","fdate","round","observer","transect","t_c","quadrat","planted","f_number","count_unit","plant_genus","plant_species","plant_code","notes"
"14","AB410791C22020","NA",2012,"AB",2012-06-19,"1","NA","2","C","2","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"15","AB410791C23030","NA",2012,"AB",2012-06-19,"1","NA","2","C","3","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"16","AB410791C24040","NA",2012,"AB",2012-06-19,"1","NA","2","C","4","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"17","AB410791C25050","NA",2012,"AB",2012-06-19,"1","NA","2","C","5","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"18","AB410791C26060","NA",2012,"AB",2012-06-19,"1","NA","2","C","6","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"19","AB410791C27070","NA",2012,"AB",2012-06-19,"1","NA","2","C","7","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"20","AB410791C28080","NA",2012,"AB",2012-06-19,"1","NA","2","C","8","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"21","AB410791C29syriaca9300","NA",2012,"AB",2012-06-19,"1","NA","2","C","9","no","300","flr","Asclepias","syriaca","ASSY","NA; NA; NA"
"22","AB410791C3100100","NA",2012,"AB",2012-06-19,"1","NA","3","C","10","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"23","AB410791C31010","NA",2012,"AB",2012-06-19,"1","NA","3","C","1","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"24","AB410791C32020","NA",2012,"AB",2012-06-19,"1","NA","3","C","2","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"25","AB410791C33030","NA",2012,"AB",2012-06-19,"1","NA","3","C","3","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"26","AB410791C34040","NA",2012,"AB",2012-06-19,"1","NA","3","C","4","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"27","AB410791C35050","NA",2012,"AB",2012-06-19,"1","NA","3","C","5","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"28","AB410791C36060","NA",2012,"AB",2012-06-19,"1","NA","3","C","6","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"29","AB410791C37070","NA",2012,"AB",2012-06-19,"1","NA","3","C","7","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"30","AB410791C38080","NA",2012,"AB",2012-06-19,"1","NA","3","C","8","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"31","AB410791C39090","NA",2012,"AB",2012-06-19,"1","NA","3","C","9","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"32","AB410791C4100100","NA",2012,"AB",2012-06-19,"1","NA","4","C","10","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"33","AB410791C41010","NA",2012,"AB",2012-06-19,"1","NA","4","C","1","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"34","AB410791C42020","NA",2012,"AB",2012-06-19,"1","NA","4","C","2","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"35","AB410791C43030","NA",2012,"AB",2012-06-19,"1","NA","4","C","3","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"36","AB410791C44040","NA",2012,"AB",2012-06-19,"1","NA","4","C","4","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"37","AB410791C45050","NA",2012,"AB",2012-06-19,"1","NA","4","C","5","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"38","AB410791C46060","NA",2012,"AB",2012-06-19,"1","NA","4","C","6","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"39","AB410791C47070","NA",2012,"AB",2012-06-19,"1","NA","4","C","7","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"40","AB410791C48080","NA",2012,"AB",2012-06-19,"1","NA","4","C","8","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"41","AB410791C49090","NA",2012,"AB",2012-06-19,"1","NA","4","C","9","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"42","AB410791T110arvense1052","NA",2012,"AB",2012-06-19,"1","NA","1","T","10","no","52","NA","Trifolium","arvense","TRAR4","NA; NA; NA"
"43","AB410791T110hirta1019","NA",2012,"AB",2012-06-19,"1","NA","1","T","10","yes","19","head","Rudbeckia","hirta","RUHI2","NA; NA; NA"
"44","AB410791T11hirta19","NA",2012,"AB",2012-06-19,"1","NA","1","T","1","yes","9","head","Rudbeckia","hirta","RUHI2","NA; NA; NA"
"45","AB410791T12cotula23","NA",2012,"AB",2012-06-19,"1","NA","1","T","2","no","3","head","Anthemis","cotula","ANCO2","NA; NA; NA"
"46","AB410791T12hirta210","NA",2012,"AB",2012-06-19,"1","NA","1","T","2","yes","10","head","Rudbeckia","hirta","RUHI2","NA; NA; NA"
"47","AB410791T13fistulosa31","NA",2012,"AB",2012-06-19,"1","NA","1","T","3","yes","1","head","Monarda","fistulosa","MOFI","NA; NA; NA"
"48","AB410791T13hirta34","NA",2012,"AB",2012-06-19,"1","NA","1","T","3","yes","4","head","Rudbeckia","hirta","RUHI2","NA; NA; NA"
"49","AB410791T14arvense486","NA",2012,"AB",2012-06-19,"1","NA","1","T","4","no","86","NA","Trifolium","arvense","TRAR4","NA; NA; NA"
"50","AB410791T14hirta412","NA",2012,"AB",2012-06-19,"1","NA","1","T","4","yes","12","head","Rudbeckia","hirta","RUHI2","NA; NA; NA"
"51","AB410791T15hirta516","NA",2012,"AB",2012-06-19,"1","NA","1","T","5","yes","16","head","Rudbeckia","hirta","RUHI2","NA; NA; NA"
"52","AB410791T15YELLOW52","NA",2012,"AB",2012-06-19,"1","NA","1","T","5","yes","2","NA","Heliopsis","helianthoides","CHECK","NA; NA; NA"
"53","AB410791T16hirta613","NA",2012,"AB",2012-06-19,"1","NA","1","T","6","yes","13","head","Rudbeckia","hirta","RUHI2","NA; NA; NA"
"54","AB410791T16repens617","NA",2012,"AB",2012-06-19,"1","NA","1","T","6","no","17","NA","Trifolium","repens","TRRE3","NA; NA; NA"
"55","AB410791T17arvense737","NA",2012,"AB",2012-06-19,"1","NA","1","T","7","no","37","NA","Trifolium","arvense","TRAR4","NA; NA; NA"
"56","AB410791T17fistulosa71","NA",2012,"AB",2012-06-19,"1","NA","1","T","7","yes","1","head","Monarda","fistulosa","MOFI","NA; NA; NA"
"57","AB410791T17hirta718","NA",2012,"AB",2012-06-19,"1","NA","1","T","7","yes","18","head","Rudbeckia","hirta","RUHI2","NA; NA; NA"
"58","AB410791T17repens71","NA",2012,"AB",2012-06-19,"1","NA","1","T","7","no","1","NA","Trifolium","repens","TRRE3","NA; NA; NA"
"59","AB410791T17YELLOW73","NA",2012,"AB",2012-06-19,"1","NA","1","T","7","yes","3","NA","Heliopsis","helianthoides","CHECK","NA; NA; NA"
"60","AB410791T18hirta814","NA",2012,"AB",2012-06-19,"1","NA","1","T","8","yes","14","head","Rudbeckia","hirta","RUHI2","NA; NA; NA"
"61","AB410791T19arvense9167","NA",2012,"AB",2012-06-19,"1","NA","1","T","9","no","167","NA","Trifolium","arvense","TRAR4","NA; NA; NA"
"62","AB410791T19hirta911","NA",2012,"AB",2012-06-19,"1","NA","1","T","9","yes","11","head","Rudbeckia","hirta","RUHI2","NA; NA; NA"
"63","AB410791T210arvense10115","NA",2012,"AB",2012-06-19,"1","NA","2","T","10","no","115","NA","Trifolium","arvense","TRAR4","NA; NA; NA"
"64","AB410791T210hirta1012","NA",2012,"AB",2012-06-19,"1","NA","2","T","10","yes","12","head","Rudbeckia","hirta","RUHI2","NA; NA; NA"
"65","AB410791T21fistulosa16","NA",2012,"AB",2012-06-19,"1","NA","2","T","1","yes","6","head","Monarda","fistulosa","MOFI","NA; NA; NA"
"66","AB410791T21hirta17","NA",2012,"AB",2012-06-19,"1","NA","2","T","1","yes","7","head","Rudbeckia","hirta","RUHI2","NA; NA; NA"
"67","AB410791T22hirta210","NA",2012,"AB",2012-06-19,"1","NA","2","T","2","yes","10","head","Rudbeckia","hirta","RUHI2","NA; NA; NA"
"68","AB410791T23hirta314","NA",2012,"AB",2012-06-19,"1","NA","2","T","3","yes","14","head","Rudbeckia","hirta","RUHI2","NA; NA; NA"
"69","AB410791T24hirta42","NA",2012,"AB",2012-06-19,"1","NA","2","T","4","yes","2","head","Rudbeckia","hirta","RUHI2","NA; NA; NA"
"70","AB410791T24laciniata41","NA",2012,"AB",2012-06-19,"1","NA","2","T","4","no","1","flr","Oenothera","laciniata","OELA","NA; NA; NA"
"71","AB410791T24stricta41","NA",2012,"AB",2012-06-19,"1","NA","2","T","4","no","1","flr","Oxalis","stricta","OXST","NA; NA; NA"
"72","AB410791T24White_Mistwell44","NA",2012,"AB",2012-06-19,"1","NA","2","T","4","unknown","4","NA","White_Mistwell","White_Mistwell","CHECK","NA; cannot find; NA"
"73","AB410791T25arvense5109","NA",2012,"AB",2012-06-19,"1","NA","2","T","5","no","109","NA","Trifolium","arvense","TRAR4","NA; NA; NA"
"74","AB410791T25hirta58","NA",2012,"AB",2012-06-19,"1","NA","2","T","5","yes","8","head","Rudbeckia","hirta","RUHI2","NA; NA; NA"
"75","AB410791T25laciniata52","NA",2012,"AB",2012-06-19,"1","NA","2","T","5","no","2","flr","Oenothera","laciniata","OELA","NA; NA; NA"
"76","AB410791T25stricta51","NA",2012,"AB",2012-06-19,"1","NA","2","T","5","no","1","flr","Oxalis","stricta","OXST","NA; NA; NA"
"77","AB410791T25White_Mistwell55","NA",2012,"AB",2012-06-19,"1","NA","2","T","5","unknown","5","NA","White_Mistwell","White_Mistwell","CHECK","NA; cannot find; NA"
"78","AB410791T26arvense620","NA",2012,"AB",2012-06-19,"1","NA","2","T","6","no","20","NA","Trifolium","arvense","TRAR4","NA; NA; NA"
"79","AB410791T26hirta68","NA",2012,"AB",2012-06-19,"1","NA","2","T","6","yes","8","head","Rudbeckia","hirta","RUHI2","NA; NA; NA"
"80","AB410791T26laciniata68","NA",2012,"AB",2012-06-19,"1","NA","2","T","6","no","8","flr","Oenothera","laciniata","OELA","NA; NA; NA"
"81","AB410791T26White_Mistwell61","NA",2012,"AB",2012-06-19,"1","NA","2","T","6","unknown","1","NA","White_Mistwell","White_Mistwell","CHECK","NA; cannot find; NA"
"82","AB410791T27arvense7195","NA",2012,"AB",2012-06-19,"1","NA","2","T","7","no","195","NA","Trifolium","arvense","TRAR4","NA; NA; NA"
"83","AB410791T27hirta717","NA",2012,"AB",2012-06-19,"1","NA","2","T","7","yes","17","head","Rudbeckia","hirta","RUHI2","NA; NA; NA"
"84","AB410791T28arvense8222","NA",2012,"AB",2012-06-19,"1","NA","2","T","8","no","222","NA","Trifolium","arvense","TRAR4","NA; NA; NA"
"85","AB410791T28hirta821","NA",2012,"AB",2012-06-19,"1","NA","2","T","8","yes","21","head","Rudbeckia","hirta","RUHI2","NA; NA; NA"
"86","AB410791T29arvense9226","NA",2012,"AB",2012-06-19,"1","NA","2","T","9","no","226","NA","Trifolium","arvense","TRAR4","NA; NA; NA"
"87","AB410791T29hirta918","NA",2012,"AB",2012-06-19,"1","NA","2","T","9","yes","18","head","Rudbeckia","hirta","RUHI2","NA; NA; NA"
"88","AB410791T310arvense1016","NA",2012,"AB",2012-06-19,"1","NA","3","T","10","no","16","NA","Trifolium","arvense","TRAR4","NA; NA; NA"
"89","AB410791T310hirta1020","NA",2012,"AB",2012-06-19,"1","NA","3","T","10","yes","20","head","Rudbeckia","hirta","RUHI2","NA; NA; NA"
"90","AB410791T31arvense124","NA",2012,"AB",2012-06-19,"1","NA","3","T","1","no","24","NA","Trifolium","arvense","TRAR4","NA; NA; NA"
"91","AB410791T31hirta113","NA",2012,"AB",2012-06-19,"1","NA","3","T","1","yes","13","head","Rudbeckia","hirta","RUHI2","NA; NA; NA"
"92","AB410791T31repens16","NA",2012,"AB",2012-06-19,"1","NA","3","T","1","no","6","NA","Trifolium","repens","TRRE3","NA; NA; NA"
"93","AB410791T32arvense231","NA",2012,"AB",2012-06-19,"1","NA","3","T","2","no","31","NA","Trifolium","arvense","TRAR4","NA; NA; NA"
"94","AB410791T32hirta221","NA",2012,"AB",2012-06-19,"1","NA","3","T","2","yes","21","head","Rudbeckia","hirta","RUHI2","NA; NA; NA"
"95","AB410791T33hirta332","NA",2012,"AB",2012-06-19,"1","NA","3","T","3","yes","32","head","Rudbeckia","hirta","RUHI2","NA; NA; NA"
"96","AB410791T34arvense438","NA",2012,"AB",2012-06-19,"1","NA","3","T","4","no","38","NA","Trifolium","arvense","TRAR4","NA; NA; NA"
"97","AB410791T34hirta422","NA",2012,"AB",2012-06-19,"1","NA","3","T","4","yes","22","head","Rudbeckia","hirta","RUHI2","NA; NA; NA"
"98","AB410791T35arvense524","NA",2012,"AB",2012-06-19,"1","NA","3","T","5","no","24","NA","Trifolium","arvense","TRAR4","NA; NA; NA"
"99","AB410791T35hirta519","NA",2012,"AB",2012-06-19,"1","NA","3","T","5","yes","19","head","Rudbeckia","hirta","RUHI2","NA; NA; NA"
"100","AB410791T36hirta624","NA",2012,"AB",2012-06-19,"1","NA","3","T","6","yes","24","head","Rudbeckia","hirta","RUHI2","NA; NA; NA"
"101","AB410791T36repens615","NA",2012,"AB",2012-06-19,"1","NA","3","T","6","no","15","NA","Trifolium","repens","TRRE3","NA; NA; NA"
"102","AB410791T37arvense752","NA",2012,"AB",2012-06-19,"1","NA","3","T","7","no","52","NA","Trifolium","arvense","TRAR4","NA; NA; NA"
"103","AB410791T37hirta725","NA",2012,"AB",2012-06-19,"1","NA","3","T","7","yes","25","head","Rudbeckia","hirta","RUHI2","NA; NA; NA"
"104","AB410791T37repens77","NA",2012,"AB",2012-06-19,"1","NA","3","T","7","no","7","NA","Trifolium","repens","TRRE3","NA; NA; NA"
"105","AB410791T38arvense818","NA",2012,"AB",2012-06-19,"1","NA","3","T","8","no","18","NA","Trifolium","arvense","TRAR4","NA; NA; NA"
"106","AB410791T38hirta829","NA",2012,"AB",2012-06-19,"1","NA","3","T","8","yes","29","head","Rudbeckia","hirta","RUHI2","NA; NA; NA"
"107","AB410791T39arvense913","NA",2012,"AB",2012-06-19,"1","NA","3","T","9","no","13","NA","Trifolium","arvense","TRAR4","NA; NA; NA"
"108","AB410791T39hirta926","NA",2012,"AB",2012-06-19,"1","NA","3","T","9","yes","26","head","Rudbeckia","hirta","RUHI2","NA; NA; NA"
"109","AB410791T410arvense1055","NA",2012,"AB",2012-06-19,"1","NA","4","T","10","no","55","NA","Trifolium","arvense","TRAR4","NA; NA; NA"
"110","AB410791T410hirta1051","NA",2012,"AB",2012-06-19,"1","NA","4","T","10","yes","51","head","Rudbeckia","hirta","RUHI2","NA; NA; NA"
"111","AB410791T41hirta133","NA",2012,"AB",2012-06-19,"1","NA","4","T","1","yes","33","head","Rudbeckia","hirta","RUHI2","NA; NA; NA"
"112","AB410791T42hirta247","NA",2012,"AB",2012-06-19,"1","NA","4","T","2","yes","47","head","Rudbeckia","hirta","RUHI2","NA; NA; NA"
"113","AB410791T43arvense389","NA",2012,"AB",2012-06-19,"1","NA","4","T","3","no","89","NA","Trifolium","arvense","TRAR4","NA; NA; NA"
"114","AB410791T43hirta347","NA",2012,"AB",2012-06-19,"1","NA","4","T","3","yes","47","head","Rudbeckia","hirta","RUHI2","NA; NA; NA"
"115","AB410791T44arvense4254","NA",2012,"AB",2012-06-19,"1","NA","4","T","4","no","254","NA","Trifolium","arvense","TRAR4","NA; NA; NA"
"116","AB410791T44hirta417","NA",2012,"AB",2012-06-19,"1","NA","4","T","4","yes","17","head","Rudbeckia","hirta","RUHI2","NA; NA; NA"
"117","AB410791T45arvense518","NA",2012,"AB",2012-06-19,"1","NA","4","T","5","no","18","NA","Trifolium","arvense","TRAR4","NA; NA; NA"
"118","AB410791T45hirta553","NA",2012,"AB",2012-06-19,"1","NA","4","T","5","yes","53","head","Rudbeckia","hirta","RUHI2","NA; NA; NA"
"119","AB410791T46hirta629","NA",2012,"AB",2012-06-19,"1","NA","4","T","6","yes","29","head","Rudbeckia","hirta","RUHI2","NA; NA; NA"
"120","AB410791T47arvense7117","NA",2012,"AB",2012-06-19,"1","NA","4","T","7","no","117","NA","Trifolium","arvense","TRAR4","NA; NA; NA"
"121","AB410791T47hirta739","NA",2012,"AB",2012-06-19,"1","NA","4","T","7","yes","39","head","Rudbeckia","hirta","RUHI2","NA; NA; NA"
"122","AB410791T48arvense844","NA",2012,"AB",2012-06-19,"1","NA","4","T","8","no","44","NA","Trifolium","arvense","TRAR4","NA; NA; NA"
"123","AB410791T48hirta848","NA",2012,"AB",2012-06-19,"1","NA","4","T","8","yes","48","head","Rudbeckia","hirta","RUHI2","NA; NA; NA"
"124","AB410791T48repens814","NA",2012,"AB",2012-06-19,"1","NA","4","T","8","no","14","NA","Trifolium","repens","TRRE3","NA; NA; NA"
"125","AB410791T49hirta946","NA",2012,"AB",2012-06-19,"1","NA","4","T","9","yes","46","head","Rudbeckia","hirta","RUHI2","NA; NA; NA"
"126","AB410992C1100100","NA",2012,"AB",2012-07-09,"2","NA","1","C","10","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"127","AB410992C11010","NA",2012,"AB",2012-07-09,"2","NA","1","C","1","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"128","AB410992C12020","NA",2012,"AB",2012-07-09,"2","NA","1","C","2","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"129","AB410992C13030","NA",2012,"AB",2012-07-09,"2","NA","1","C","3","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"130","AB410992C14040","NA",2012,"AB",2012-07-09,"2","NA","1","C","4","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"131","AB410992C15050","NA",2012,"AB",2012-07-09,"2","NA","1","C","5","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"132","AB410992C16cotula65","NA",2012,"AB",2012-07-09,"2","NA","1","C","6","no","5","head","Anthemis","cotula","ANCO2","NA; NA; NA"
"133","AB410992C17070","NA",2012,"AB",2012-07-09,"2","NA","1","C","7","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"134","AB410992C18080","NA",2012,"AB",2012-07-09,"2","NA","1","C","8","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"135","AB410992C19090","NA",2012,"AB",2012-07-09,"2","NA","1","C","9","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"136","AB410992C2100100","NA",2012,"AB",2012-07-09,"2","NA","2","C","10","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"137","AB410992C21010","NA",2012,"AB",2012-07-09,"2","NA","2","C","1","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"138","AB410992C22020","NA",2012,"AB",2012-07-09,"2","NA","2","C","2","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"139","AB410992C23030","NA",2012,"AB",2012-07-09,"2","NA","2","C","3","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"140","AB410992C24040","NA",2012,"AB",2012-07-09,"2","NA","2","C","4","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"141","AB410992C25050","NA",2012,"AB",2012-07-09,"2","NA","2","C","5","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"142","AB410992C26060","NA",2012,"AB",2012-07-09,"2","NA","2","C","6","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"143","AB410992C27070","NA",2012,"AB",2012-07-09,"2","NA","2","C","7","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"144","AB410992C28080","NA",2012,"AB",2012-07-09,"2","NA","2","C","8","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"145","AB410992C29090","NA",2012,"AB",2012-07-09,"2","NA","2","C","9","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"146","AB410992C3100100","NA",2012,"AB",2012-07-09,"2","NA","3","C","10","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"147","AB410992C31010","NA",2012,"AB",2012-07-09,"2","NA","3","C","1","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"148","AB410992C32020","NA",2012,"AB",2012-07-09,"2","NA","3","C","2","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"149","AB410992C33030","NA",2012,"AB",2012-07-09,"2","NA","3","C","3","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"150","AB410992C34040","NA",2012,"AB",2012-07-09,"2","NA","3","C","4","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"151","AB410992C35050","NA",2012,"AB",2012-07-09,"2","NA","3","C","5","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"152","AB410992C36060","NA",2012,"AB",2012-07-09,"2","NA","3","C","6","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"153","AB410992C37070","NA",2012,"AB",2012-07-09,"2","NA","3","C","7","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"154","AB410992C38080","NA",2012,"AB",2012-07-09,"2","NA","3","C","8","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"155","AB410992C39090","NA",2012,"AB",2012-07-09,"2","NA","3","C","9","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"156","AB410992C4100100","NA",2012,"AB",2012-07-09,"2","NA","4","C","10","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"157","AB410992C41010","NA",2012,"AB",2012-07-09,"2","NA","4","C","1","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"158","AB410992C42020","NA",2012,"AB",2012-07-09,"2","NA","4","C","2","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"159","AB410992C43030","NA",2012,"AB",2012-07-09,"2","NA","4","C","3","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"160","AB410992C44040","NA",2012,"AB",2012-07-09,"2","NA","4","C","4","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"161","AB410992C45050","NA",2012,"AB",2012-07-09,"2","NA","4","C","5","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"162","AB410992C46060","NA",2012,"AB",2012-07-09,"2","NA","4","C","6","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"163","AB410992C47ciliare79","NA",2012,"AB",2012-07-09,"2","NA","4","C","7","no","9","NA","Desmodium","ciliare","DECI","NA; NA; NA"
"164","AB410992C48pandurata83","NA",2012,"AB",2012-07-09,"2","NA","4","C","8","no","3","flr","Ipomoea","pandurata","IPPA","NA; NA; NA"
"165","AB410992C49090","NA",2012,"AB",2012-07-09,"2","NA","4","C","9","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"166","AB410992T110fistulosa1029","NA",2012,"AB",2012-07-09,"2","NA","1","T","10","yes","29","head","Monarda","fistulosa","MOFI","NA; NA; NA"
"167","AB410992T110hirta10103","NA",2012,"AB",2012-07-09,"2","NA","1","T","10","yes","103","head","Rudbeckia","hirta","RUHI2","NA; NA; NA"
"168","AB410992T11hirta1116","NA",2012,"AB",2012-07-09,"2","NA","1","T","1","yes","116","head","Rudbeckia","hirta","RUHI2","NA; NA; NA"
"169","AB410992T12arvense246","NA",2012,"AB",2012-07-09,"2","NA","1","T","2","no","46","NA","Trifolium","arvense","TRAR4","NA; NA; NA"
"170","AB410992T12hirta2132","NA",2012,"AB",2012-07-09,"2","NA","1","T","2","yes","132","head","Rudbeckia","hirta","RUHI2","NA; NA; NA"
"171","AB410992T13hirta372","NA",2012,"AB",2012-07-09,"2","NA","1","T","3","yes","72","head","Rudbeckia","hirta","RUHI2","NA; NA; NA"
"172","AB410992T14arvense4114","NA",2012,"AB",2012-07-09,"2","NA","1","T","4","no","114","NA","Trifolium","arvense","TRAR4","NA; NA; NA"
"173","AB410992T14hirta4103","NA",2012,"AB",2012-07-09,"2","NA","1","T","4","yes","103","head","Rudbeckia","hirta","RUHI2","NA; NA; NA"
"174","AB410992T15fistulosa59","NA",2012,"AB",2012-07-09,"2","NA","1","T","5","yes","9","head","Monarda","fistulosa","MOFI","NA; NA; NA"
"175","AB410992T15hirta5138","NA",2012,"AB",2012-07-09,"2","NA","1","T","5","yes","138","head","Rudbeckia","hirta","RUHI2","NA; NA; NA"
"176","AB410992T16arvense648","NA",2012,"AB",2012-07-09,"2","NA","1","T","6","no","48","NA","Trifolium","arvense","TRAR4","NA; NA; NA"
"177","AB410992T16arvensedupp61","NA",2012,"AB",2012-07-09,"2","NA","1","T","6","no","1","NA","Trifolium","arvense","TRAR4","NA; NA; NA"
"178","AB410992T16hirta682","NA",2012,"AB",2012-07-09,"2","NA","1","T","6","yes","82","head","Rudbeckia","hirta","RUHI2","NA; NA; NA"
"179","AB410992T17fistulosa78","NA",2012,"AB",2012-07-09,"2","NA","1","T","7","yes","8","head","Monarda","fistulosa","MOFI","NA; NA; NA"
"180","AB410992T17hirta7232","NA",2012,"AB",2012-07-09,"2","NA","1","T","7","yes","232","head","Rudbeckia","hirta","RUHI2","NA; NA; NA"
"181","AB410992T18arvense8128","NA",2012,"AB",2012-07-09,"2","NA","1","T","8","no","128","NA","Trifolium","arvense","TRAR4","NA; NA; NA"
"182","AB410992T18fistulosa828","NA",2012,"AB",2012-07-09,"2","NA","1","T","8","yes","28","head","Monarda","fistulosa","MOFI","NA; NA; NA"
"183","AB410992T18hirta873","NA",2012,"AB",2012-07-09,"2","NA","1","T","8","yes","73","head","Rudbeckia","hirta","RUHI2","NA; NA; NA"
"184","AB410992T19fistulosa926","NA",2012,"AB",2012-07-09,"2","NA","1","T","9","yes","26","head","Monarda","fistulosa","MOFI","NA; NA; NA"
"185","AB410992T19helianthoides94","NA",2012,"AB",2012-07-09,"2","NA","1","T","9","yes","4","head","Heliopsis","helianthoides","HEHE5","NA; NA; NA"
"186","AB410992T19hirta9150","NA",2012,"AB",2012-07-09,"2","NA","1","T","9","yes","150","head","Rudbeckia","hirta","RUHI2","NA; NA; NA"
