"","uniqueID","year","month","day","round","fdate","site","AM_PM","transect","treatment","L_R","genus","species","ssp","sex","det","Taxonomy_notes","det_date","basicID","non_bee_desc1","plant_code","plant_genus","plant_species","planted","collector","latitude","longitude"
"14","NAT.CIG2011_123","2011","5","31","1",2011-05-31,"HP","AM","3","T","","Halictus","ligatus","","f","Ascher","",2011-11-11,"bee","","ERPH","Erigeron","philadelphicus","no","CLW","40.667605","-75.047923"
"15","NAT.CIG2011_124","2011","5","31","1",2011-05-31,"HP","AM","3","T","","Ceratina","strenua","","m","J.Gibbs","",2015-01-01,"bee","","ERPH","Erigeron","philadelphicus","no","CLW","40.667605","-75.047923"
"16","NAT.CIG2011_125","2011","5","31","1",2011-05-31,"HP","AM","3","T","","Ceratina","dupla","","f","J.Gibbs","",2015-01-01,"bee","","ERPH","Erigeron","philadelphicus","no","CLW","40.667605","-75.047923"
"17","NAT.CIG2011_126","2011","5","31","1",2011-05-31,"HP","AM","4","T","","Halictus","ligatus","","f","Ascher","",2011-11-11,"bee","","ERPH","Erigeron","philadelphicus","no","CLW","40.667605","-75.047923"
"18","NAT.CIG2011_127","2011","5","31","1",2011-05-31,"HP","AM","4","T","","Ceratina","calcarata","","m","Ascher","",2011-11-11,"bee","","ERPH","Erigeron","philadelphicus","no","CLW","40.667605","-75.047923"
"19","NAT.CIG2011_128","2011","5","31","1",2011-05-31,"HP","AM","4","T","","Lasioglossum","pectorale","","f","Gibbs","",2011-11-11,"bee","","DIBA","Dianthus","barbatus","yes","CLW","40.667605","-75.047923"
"20","NAT.CIG2011_129","2011","5","31","1",2011-05-31,"HP","AM","4","T","","Ceratina","strenua","","f","Ascher","",2011-11-11,"bee","","DIBA","Dianthus","barbatus","yes","CLW","40.667605","-75.047923"
"21","NAT.CIG2011_131","2011","5","31","1",2011-05-31,"HP","AM","2","C","","Hylaeus","mesillae","cressoni","f","Ascher","",2011-11-11,"bee","","PASA2","Pastinaca","sativa","no","CLW","40.666476","-75.046523"
"22","NAT.CIG2011_132","2011","5","31","1",2011-05-31,"HP","AM","3","C","","Ceratina","strenua","","f","Ascher","",2011-11-11,"bee","","RUFL","Rubus","flagellaris","no","CLW","40.666476","-75.046523"
"23","NAT.CIG2011_133","2011","5","31","1",2011-05-31,"HP","AM","3","C","","Ceratina","dupla","","f","J.Gibbs","",2015-01-01,"bee","","RUFL","Rubus","flagellaris","no","CLW","40.666476","-75.046523"
"24","NAT.CIG2011_134","2011","5","31","1",2011-05-31,"HP","PM","1","T","","Hylaeus","mesillae","cressoni","m","Ascher","",2011-11-11,"bee","","PASA2","Pastinaca","sativa","no","CLW","40.667605","-75.047923"
"25","NAT.CIG2011_135","2011","5","31","1",2011-05-31,"HP","PM","1","T","","Hylaeus","mesillae","cressoni","m","Ascher","",2011-11-11,"bee","","PASA2","Pastinaca","sativa","no","CLW","40.667605","-75.047923"
"26","NAT.CIG2011_136","2011","5","31","1",2011-05-31,"HP","PM","1","T","","Hylaeus","mesillae","cressoni","m","Ascher","",2011-11-11,"bee","","PASA2","Pastinaca","sativa","no","CLW","40.667605","-75.047923"
"27","NAT.CIG2011_137","2011","5","31","1",2011-05-31,"HP","PM","1","T","","Hylaeus","mesillae","cressoni",NA,NA,"",2011-11-11,"bee","","PASA2","Pastinaca","sativa","no","CLW","40.667605","-75.047923"
"28","NAT.CIG2011_138","2011","5","31","1",2011-05-31,"HP","PM","1","T","","Hylaeus","mesillae","cressoni","f","Ascher","",2011-11-11,"bee","","PASA2","Pastinaca","sativa","no","CLW","40.667605","-75.047923"
"29","NAT.CIG2011_139","2011","5","31","1",2011-05-31,"HP","PM","1","T","","Lasioglossum","imitatum","","f","Gibbs","",2011-11-11,"bee","","PASA2","Pastinaca","sativa","no","CLW","40.667605","-75.047923"
"30","NAT.CIG2011_140","2011","5","31","1",2011-05-31,"HP","PM","1","T","","Hylaeus","affinis_modestus","","f","Ascher","",2011-11-11,"bee","","PASA2","Pastinaca","sativa","no","CLW","40.667605","-75.047923"
"31","NAT.CIG2011_141","2011","5","31","1",2011-05-31,"HP","PM","1","T","","Hylaeus","affinis_modestus","","f","Ascher","",2011-11-11,"bee","","PASA2","Pastinaca","sativa","no","CLW","40.667605","-75.047923"
"32","NAT.CIG2011_142","2011","5","31","1",2011-05-31,"HP","PM","1","T","","Hylaeus","affinis_modestus","","f","Ascher","",2011-11-11,"bee","","PASA2","Pastinaca","sativa","no","CLW","40.667605","-75.047923"
"33","NAT.CIG2011_143","2011","5","31","1",2011-05-31,"HP","PM","1","T","","Andrena","brevipalpis","","m","Ascher","",2011-11-11,"bee","","PASA2","Pastinaca","sativa","no","CLW","40.667605","-75.047923"
"34","NAT.CIG2011_144","2011","5","31","1",2011-05-31,"HP","PM","1","T","","Andrena","brevipalpis","","m","Ascher","",2011-11-11,"bee","","PASA2","Pastinaca","sativa","no","CLW","40.667605","-75.047923"
"35","NAT.CIG2011_147","2011","5","31","1",2011-05-31,"HP","PM","1","T","","Ceratina","calcarata","","m","Ascher","",2011-11-11,"bee","","ERPH","Erigeron","philadelphicus","no","CLW","40.667605","-75.047923"
"36","NAT.CIG2011_148","2011","5","31","1",2011-05-31,"HP","PM","1","T","","Ceratina","strenua","","f","J.Gibbs","",2015-01-01,"bee","","ERPH","Erigeron","philadelphicus","no","CLW","40.667605","-75.047923"
"37","NAT.CIG2011_149","2011","5","31","1",2011-05-31,"HP","PM","1","T","","Lasioglossum","pectorale","","f","Gibbs","",2011-11-11,"bee","","ERPH","Erigeron","philadelphicus","no","CLW","40.667605","-75.047923"
"38","NAT.CIG2011_150","2011","5","31","1",2011-05-31,"HP","PM","2","T","","Ceratina","strenua","","m","Ascher","",2011-11-11,"bee","","ERPH","Erigeron","philadelphicus","no","CLW","40.667605","-75.047923"
"39","NAT.CIG2011_151","2011","5","31","1",2011-05-31,"HP","PM","2","T","","Halictus","ligatus","","f","Ascher","",2011-11-11,"bee","","ERPH","Erigeron","philadelphicus","no","CLW","40.667605","-75.047923"
"40","NAT.CIG2011_152","2011","5","31","1",2011-05-31,"HP","PM","2","T","","Ceratina","mikmaqi","","f","J.Gibbs","",2015-01-01,"bee","","ERPH","Erigeron","philadelphicus","no","CLW","40.667605","-75.047923"
"41","NAT.CIG2011_153","2011","5","31","1",2011-05-31,"HP","PM","2","T","","Ceratina","strenua","","f","J.Gibbs","",2015-01-01,"bee","","ERPH","Erigeron","philadelphicus","no","CLW","40.667605","-75.047923"
"42","NAT.CIG2011_155","2011","5","31","1",2011-05-31,"HP","PM","2","T","","Hylaeus","affinis_modestus","","f","Ascher","",2011-11-11,"bee","","PASA2","Pastinaca","sativa","no","CLW","40.667605","-75.047923"
"43","NAT.CIG2011_156","2011","5","31","1",2011-05-31,"HP","PM","2","T","","Hylaeus","affinis_modestus","","f","Ascher","",2011-11-11,"bee","","PASA2","Pastinaca","sativa","no","CLW","40.667605","-75.047923"
"44","NAT.CIG2011_157","2011","5","31","1",2011-05-31,"HP","PM","2","T","","Hylaeus","affinis_modestus","","f","Ascher","",2011-11-11,"bee","","PASA2","Pastinaca","sativa","no","CLW","40.667605","-75.047923"
"45","NAT.CIG2011_160","2011","5","31","1",2011-05-31,"HP","PM","3","T","","Ceratina","mikmaqi","","f","J.Gibbs","",2015-01-01,"bee","","DIBA","Dianthus","barbatus","yes","CLW","40.667605","-75.047923"
"46","NAT.CIG2011_161","2011","5","31","1",2011-05-31,"HP","PM","3","T","","Ceratina","dupla","","f","J.Gibbs","",2015-01-01,"bee","","ERPH","Erigeron","philadelphicus","no","CLW","40.667605","-75.047923"
"47","NAT.CIG2011_162","2011","5","31","1",2011-05-31,"HP","PM","3","T","","Ceratina","strenua","","f","Ascher","",2011-11-11,"bee","","ERPH","Erigeron","philadelphicus","no","CLW","40.667605","-75.047923"
"48","NAT.CIG2011_163","2011","5","31","1",2011-05-31,"HP","PM","3","T","","Ceratina","strenua","","f","Ascher","",2011-11-11,"bee","","ERPH","Erigeron","philadelphicus","no","CLW","40.667605","-75.047923"
"49","NAT.CIG2011_164","2011","5","31","1",2011-05-31,"HP","PM","3","T","","Ceratina","strenua","","f","Ascher","",2011-11-11,"bee","","ERPH","Erigeron","philadelphicus","no","CLW","40.667605","-75.047923"
"50","NAT.CIG2011_169","2011","5","31","1",2011-05-31,"HP","PM","4","T","","Ceratina","strenua","","f","Ascher","",2011-11-11,"bee","","ERPH","Erigeron","philadelphicus","no","CLW","40.667605","-75.047923"
"51","NAT.CIG2011_170","2011","5","31","1",2011-05-31,"HP","PM","4","T","","Ceratina","dupla","","f","J.Gibbs","",2015-01-01,"bee","","ERPH","Erigeron","philadelphicus","no","CLW","40.667605","-75.047923"
"52","NAT.CIG2011_180","2011","5","31","1",2011-05-31,"BO","AM","4","T","","Ceratina","strenua","","f","Ascher","",2011-11-11,"bee","","KRBI","Krigia","biflora","no","DPC","40.355358","-74.930309"
"53","NAT.CIG2011_182","2011","5","31","1",2011-05-31,"BO","AM","4","T","","Ceratina","dupla","","f","J.Gibbs","",2015-01-01,"bee","","HIPR3","Hieracium","praealtum","no","DPC","40.355358","-74.930309"
"54","NAT.CIG2011_183","2011","5","31","1",2011-05-31,"BO","PM","3","C","","Ceratina","strenua","","f","Ascher","",2011-11-11,"bee","","RABU","Ranunculus","bulbosus","no","DPC","40.356694","-74.930745"
"55","NAT.CIG2011_185","2011","5","31","1",2011-05-31,"BO","PM","4","C","","Andrena","wilkella","","m","Ascher","",2011-11-11,"bee","","0","pink","CHECK","no","DPC","40.356694","-74.930745"
"56","NAT.CIG2011_91","2011","5","31","1",2011-05-31,"HP","AM","1","T","","Ceratina","calcarata_dupla_mikmaqi","","f","Ascher","",2011-11-11,"bee","","DIBA","Dianthus","barbatus","yes","CLW","40.667605","-75.047923"
"57","NAT.CIG2011_94","2011","5","31","1",2011-05-31,"HP","AM","1","T","","Ceratina","dupla","","f","J.Gibbs","",2015-01-01,"bee","","ERPH","Erigeron","philadelphicus","no","CLW","40.667605","-75.047923"
"58","NAT.CIG2011_95","2011","5","31","1",2011-05-31,"HP","AM","1","T","","Andrena","brevipalpis","","m","Ascher","",2011-11-11,"bee","","PASA2","Pastinaca","sativa","no","CLW","40.667605","-75.047923"
"59","NAT.CIG2011_96","2011","5","31","1",2011-05-31,"HP","AM","1","T","","Andrena","brevipalpis","","m","Ascher","",2011-11-11,"bee","","PASA2","Pastinaca","sativa","no","CLW","40.667605","-75.047923"
"60","NAT.CIG2011_97","2011","5","31","1",2011-05-31,"HP","AM","1","T","","Andrena","nasonii","",NA,NA,"",2011-11-11,"bee","","PASA2","Pastinaca","sativa","no","CLW","40.667605","-75.047923"
"61","NAT.CIG2011_98","2011","5","31","1",2011-05-31,"HP","AM","1","T","","Andrena","brevipalpis","","m","Ascher","",2011-11-11,"bee","","PASA2","Pastinaca","sativa","no","CLW","40.667605","-75.047923"
"62","NAT.CIG2011_99","2011","5","31","1",2011-05-31,"HP","AM","1","T","","Lasioglossum","pectorale","","f","Gibbs","",2011-11-11,"bee","","PASA2","Pastinaca","sativa","no","CLW","40.667605","-75.047923"
"63","NAT.CIG2011_195","2011","6","3","1",2011-06-03,"UR","AM","1","T","","Bombus","griseocollis","","f","Ascher","",2011-11-11,"bee","","LEVU","Leucanthemum","vulgare","yes","CLW","40.703892","-74.700793"
"64","NAT.CIG2011_202","2011","6","3","1",2011-06-03,"UR","PM","1","T","","Andrena","imitatrix","",NA,NA,"",2011-11-11,"bee","","ERPH","Erigeron","philadelphicus","no","CLW","40.703892","-74.700793"
"65","NAT.CIG2011_203","2011","6","3","1",2011-06-03,"UR","PM","1","T","","Lasioglossum","hitchensi","","f","Gibbs","",2011-11-11,"bee","","PEDI","Penstemon","digitalis","yes","CLW","40.703892","-74.700793"
"66","NAT.CIG2011_204","2011","6","3","1",2011-06-03,"UR","PM","1","T","","Lasioglossum","hitchensi","","f","Gibbs","",2011-11-11,"bee","","PEDI","Penstemon","digitalis","yes","CLW","40.703892","-74.700793"
"67","NAT.CIG2011_205","2011","6","3","1",2011-06-03,"UR","PM","1","T","","Hoplitis","pilosifrons","","f","Ascher","",2011-11-11,"bee","","PEDI","Penstemon","digitalis","yes","CLW","40.703892","-74.700793"
"68","NAT.CIG2011_215","2011","6","3","1",2011-06-03,"UR","PM","1","T","","Lasioglossum","hitchensi","","f","Gibbs","",2011-11-11,"bee","","LEVU","Leucanthemum","vulgare","yes","CLW","40.703892","-74.700793"
"69","NAT.CIG2011_216","2011","6","3","1",2011-06-03,"UR","PM","1","T","","Halictus","ligatus","","f","Ascher","",2011-11-11,"bee","","LEVU","Leucanthemum","vulgare","yes","CLW","40.703892","-74.700793"
"70","NAT.CIG2011_252","2011","6","3","1",2011-06-03,"UR","AM","3","T","","Hoplitis","pilosifrons","","f","Ascher","",2011-11-11,"bee","","PEDI","Penstemon","digitalis","yes","CLW","40.703892","-74.700793"
"71","NAT.CIG2011_275","2011","6","3","1",2011-06-03,"UR","AM","2","T","","Andrena","sp","",NA,NA,"",2011-11-11,"bee","","APCA","Apocynum","cannabinum","no","DPC","40.703892","-74.700793"
"72","NAT.CIG2011_277","2011","6","3","1",2011-06-03,"UR","AM","2","T","","Agapostemon","virescens","","f","Ascher","",2011-11-11,"bee","","PEDI","Penstemon","digitalis","yes","DPC","40.703892","-74.700793"
"73","NAT.CIG2011_278","2011","6","3","1",2011-06-03,"UR","AM","2","T","","Ceratina","mikmaqi","","f","J.Gibbs","",2015-01-01,"bee","","GAPU","Gaillardia","pulchella","yes","DPC","40.703892","-74.700793"
"74","NAT.CIG2011_280","2011","6","3","1",2011-06-03,"UR","AM","2","T","","Augochlorella","aurata","","f","Ascher","",2011-11-11,"bee","","LEVU","Leucanthemum","vulgare","yes","DPC","40.703892","-74.700793"
"75","NAT.CIG2011_289","2011","6","3","1",2011-06-03,"UR","AM","4","T","","Agapostemon","virescens","","f","Ascher","",2011-11-11,"bee","","PEDI","Penstemon","digitalis","yes","DPC","40.703892","-74.700793"
"76","NAT.CIG2011_293","2011","6","3","1",2011-06-03,"UR","PM","3","T","","Ceratina","mikmaqi","","f","J.Gibbs","",2015-01-01,"bee","","PEDI","Penstemon","digitalis","yes","CLW","40.703892","-74.700793"
"77","NAT.CIG2011_321","2011","6","3","1",2011-06-03,"UR","PM","3","C","","Andrena","nasonii","","f","Ascher","",2011-11-11,"bee","","LEVU","Leucanthemum","vulgare","no","CLW","40.701794","-74.700673"
"78","NAT.CIG2011_322","2011","6","3","1",2011-06-03,"UR","PM","3","C","","Lasioglossum","versatum","","f","Gibbs","",2011-11-11,"bee","","LEVU","Leucanthemum","vulgare","no","CLW","40.701794","-74.700673"
"79","NAT.CIG2011_328","2011","6","3","1",2011-06-03,"UR","PM","2","T","","Agapostemon","virescens","","f","Ascher","",2011-11-11,"bee","","PEDI","Penstemon","digitalis","yes","DPC","40.703892","-74.700793"
"80","NAT.CIG2011_329","2011","6","3","1",2011-06-03,"UR","PM","2","T","","Osmia","pumila","","f","Ascher","",2011-11-11,"bee","","PEDI","Penstemon","digitalis","yes","DPC","40.703892","-74.700793"
"81","NAT.CIG2011_330","2011","6","3","1",2011-06-03,"UR","PM","2","T","","Ceratina","dupla","","f","J.Gibbs","",2015-01-01,"bee","","LEVU","Leucanthemum","vulgare","yes","DPC","40.703892","-74.700793"
"82","NAT.CIG2011_337","2011","6","3","1",2011-06-03,"UR","PM","2","C","","Andrena","wilkella","",NA,NA,"",2011-11-11,"bee","","APCA","Apocynum","cannabinum","no","DPC","40.701794","-74.700673"
"83","NAT.CIG2011_340","2011","6","3","1",2011-06-03,"UR","PM","2","C","","Ceratina","strenua","","f","J.Gibbs","",2015-01-01,"bee","","LEVU","Leucanthemum","vulgare","no","DPC","40.701794","-74.700673"
"84","NAT.CIG2011_342","2011","6","3","1",2011-06-03,"UR","PM","4","T","","Ceratina","mikmaqi","","f","J.Gibbs","",2015-01-01,"bee","","PEDI","Penstemon","digitalis","yes","DPC","40.703892","-74.700793"
"85","NAT.CIG2011_348","2011","6","3","1",2011-06-03,"UR","PM","4","T","","Ceratina","strenua","","f","J.Gibbs","",2015-01-01,"bee","","ACMI2","Achillea","millefolium","yes","DPC","40.703892","-74.700793"
"86","NAT.CIG2011_350","2011","6","3","1",2011-06-03,"UR","PM","4","C","","Andrena","wilkella","","m","Ascher","",2011-11-11,"bee","","APCA","Apocynum","cannabinum","no","DPC","40.701794","-74.700673"
"87","NAT.CIG2011_574","2011","6","27","2",2011-06-27,"HP","AM","1","T","L","Ceratina","mikmaqi","","f","J.Gibbs","",2015-01-01,"bee","","CIAR4","Cirsium","arvense","no","CLW","40.667605","-75.047923"
"88","NAT.CIG2011_581","2011","6","27","2",2011-06-27,"HP","AM","1","T","L","Lasioglossum","hitchensi","","f","Gibbs","",2011-11-11,"bee","","PLLA","Plantago","lanceolata","no","CLW","40.667605","-75.047923"
"89","NAT.CIG2011_582","2011","6","27","2",2011-06-27,"HP","AM","1","T","L","Lasioglossum","imitatum","","f","Gibbs","",2011-11-11,"bee","","PLLA","Plantago","lanceolata","no","CLW","40.667605","-75.047923"
"90","NAT.CIG2011_585","2011","6","27","2",2011-06-27,"HP","AM","1","T","L","Lasioglossum","tegulare","",NA,NA,"",2011-11-11,"bee","","PLLA","Plantago","lanceolata","no","CLW","40.667605","-75.047923"
"91","NAT.CIG2011_601","2011","6","27","2",2011-06-27,"HP","AM","1","T","R","Lasioglossum","ephialtum","",NA,NA,"",2011-11-11,"bee","","PLLA","Plantago","lanceolata","no","CLW","40.667605","-75.047923"
"92","NAT.CIG2011_602","2011","6","27","2",2011-06-27,"HP","AM","1","T","R","Lasioglossum","versatum","","f","Gibbs","",2011-11-11,"bee","","PLLA","Plantago","lanceolata","no","CLW","40.667605","-75.047923"
"93","NAT.CIG2011_603","2011","6","27","2",2011-06-27,"HP","AM","1","T","R","Bombus","impatiens","","f","Ascher","",2011-11-11,"bee","","CIAR4","Cirsium","arvense","no","CLW","40.667605","-75.047923"
"94","NAT.CIG2011_606","2011","6","27","2",2011-06-27,"HP","AM","1","T","R","Lasioglossum","versatum","","f","Gibbs","",2011-11-11,"bee","","ECPU","Echinacea","purpurea","yes","CLW","40.667605","-75.047923"
"95","NAT.CIG2011_607","2011","6","27","2",2011-06-27,"HP","AM","1","T","R","Lasioglossum","imitatum","","f","Gibbs","",2011-11-11,"bee","","PASA2","Pastinaca","sativa","no","CLW","40.667605","-75.047923"
"96","NAT.CIG2011_608","2011","6","27","2",2011-06-27,"HP","AM","1","T","R","Lasioglossum","imitatum","","f","Gibbs","",2011-11-11,"bee","","PASA2","Pastinaca","sativa","no","CLW","40.667605","-75.047923"
"97","NAT.CIG2011_611","2011","6","27","2",2011-06-27,"HP","AM","2","T","L","Lasioglossum","imitatum","","f","Gibbs","",2011-11-11,"bee","","PLLA","Plantago","lanceolata","no","CLW","40.667605","-75.047923"
"98","NAT.CIG2011_612","2011","6","27","2",2011-06-27,"HP","AM","2","T","L","Lasioglossum","ephialtum","","f","Gibbs","",2011-11-11,"bee","","PLLA","Plantago","lanceolata","no","CLW","40.667605","-75.047923"
"99","NAT.CIG2011_613","2011","6","27","2",2011-06-27,"HP","AM","2","T","L","Lasioglossum","imitatum","","f","Gibbs","",2011-11-11,"bee","","PLLA","Plantago","lanceolata","no","CLW","40.667605","-75.047923"
"100","NAT.CIG2011_623","2011","6","27","2",2011-06-27,"HP","AM","2","T","R","Bombus","impatiens","","f","Ascher","",2011-11-11,"bee","","ASTU","Asclepias","tuberosa","yes","CLW","40.667605","-75.047923"
"101","NAT.CIG2011_624","2011","6","27","2",2011-06-27,"HP","AM","2","T","R","Bombus","impatiens","","f","Ascher","",2011-11-11,"bee","","ASTU","Asclepias","tuberosa","yes","CLW","40.667605","-75.047923"
"102","NAT.CIG2011_625","2011","6","27","2",2011-06-27,"HP","AM","3","T","L","Bombus","impatiens","","f","Ascher","",2011-11-11,"bee","","CLVU","Clinopodium","vulgare","no","CLW","40.667605","-75.047923"
"103","NAT.CIG2011_626","2011","6","27","2",2011-06-27,"HP","AM","3","T","L","Ceratina","mikmaqi","","f","J.Gibbs","",2015-01-01,"bee","","CLVU","Clinopodium","vulgare","no","CLW","40.667605","-75.047923"
"104","NAT.CIG2011_634","2011","6","27","2",2011-06-27,"HP","AM","3","T","L","Lasioglossum","pectorale","",NA,NA,"",2011-11-11,"bee","","CIAR4","Cirsium","arvense","no","CLW","40.667605","-75.047923"
"105","NAT.CIG2011_638","2011","6","27","2",2011-06-27,"HP","AM","3","T","R","Lasioglossum","imitatum","","f","Gibbs","",2011-11-11,"bee","","MEAR4","Mentha","arvensis","no","CLW","40.667605","-75.047923"
"106","NAT.CIG2011_639","2011","6","27","2",2011-06-27,"HP","AM","3","T","R","Ceratina","mikmaqi","","f","J.Gibbs","",2015-01-01,"bee","","COLA5","Coreopsis","lanceolata","yes","CLW","40.667605","-75.047923"
"107","NAT.CIG2011_647","2011","6","27","2",2011-06-27,"HP","AM","4","T","L","Agapostemon","virescens","","f","Ascher","",2011-11-11,"bee","","ECPU","Echinacea","purpurea","yes","CLW","40.667605","-75.047923"
"108","NAT.CIG2011_648","2011","6","27","2",2011-06-27,"HP","AM","4","T","L","Bombus","impatiens","","f","Ascher","",2011-11-11,"bee","","MEAR4","Mentha","arvensis","no","CLW","40.667605","-75.047923"
"109","NAT.CIG2011_649","2011","6","27","2",2011-06-27,"HP","AM","4","T","L","Bombus","bimaculatus","","f","Ascher","",2011-11-11,"bee","","MEAR4","Mentha","arvensis","no","CLW","40.667605","-75.047923"
"110","NAT.CIG2011_650","2011","6","27","2",2011-06-27,"HP","AM","4","T","L","Halictus","ligatus","","f","Ascher","",2011-11-11,"bee","","ERAN","Erigeron","annuus","no","CLW","40.667605","-75.047923"
"111","NAT.CIG2011_651","2011","6","27","2",2011-06-27,"HP","AM","4","T","L","Ceratina","calcarata","","f","J.Gibbs","",2015-01-01,"bee","","ERAN","Erigeron","annuus","no","CLW","40.667605","-75.047923"
"112","NAT.CIG2011_655","2011","6","27","2",2011-06-27,"HP","AM","2","C","L","Hylaeus","affinis_modestus","",NA,NA,"affinis originally in DB unsure now",2011-11-11,"bee","","PASA2","Pastinaca","sativa","no","CLW","40.666476","-75.046523"
"113","NAT.CIG2011_657","2011","6","27","2",2011-06-27,"HP","AM","2","C","L","Ceratina","calcarata_dupla_mikmaqi","","f","Ascher","",2011-11-11,"bee","","PASA2","Pastinaca","sativa","no","CLW","40.666476","-75.046523"
"114","NAT.CIG2011_658","2011","6","27","2",2011-06-27,"HP","AM","2","C","L","Hylaeus","affinis_modestus","","f","Ascher","",2011-11-11,"bee","","PASA2","Pastinaca","sativa","no","CLW","40.666476","-75.046523"
"115","NAT.CIG2011_665","2011","6","27","2",2011-06-27,"HP","AM","3","C","R","Lasioglossum","trigeminum","",NA,NA,"",2011-11-11,"bee","","ASSY","Asclepias","syriaca","no","CLW","40.666476","-75.046523"
"116","NAT.CIG2011_666","2011","6","27","2",2011-06-27,"HP","AM","3","C","R","Bombus","griseocollis","","f","Ascher","",2011-11-11,"bee","","ASSY","Asclepias","syriaca","no","CLW","40.666476","-75.046523"
"117","NAT.CIG2011_671","2011","6","28","2",2011-06-28,"HP","PM","2","C","L","Hylaeus","mesillae","cressoni","m","Ascher","",2011-11-11,"bee","","PASA2","Pastinaca","sativa","no","CLW","40.666476","-75.046523"
"118","NAT.CIG2011_673","2011","6","28","2",2011-06-28,"HP","PM","2","C","L","Hylaeus","affinis_modestus","","f","Ascher","",2011-11-11,"bee","","PASA2","Pastinaca","sativa","no","CLW","40.666476","-75.046523"
"119","NAT.CIG2011_675","2011","6","28","2",2011-06-28,"HP","PM","2","C","R","Hylaeus","affinis_modestus","","f","Ascher","",2011-11-11,"bee","","PASA2","Pastinaca","sativa","no","CLW","40.666476","-75.046523"
"120","NAT.CIG2011_678","2011","6","28","2",2011-06-28,"HP","PM","4","T","L","Halictus","ligatus","","f","Ascher","",2011-11-11,"bee","","GAPU","Gaillardia","pulchella","yes","CLW","40.667605","-75.047923"
"121","NAT.CIG2011_679","2011","6","28","2",2011-06-28,"HP","PM","4","T","L","Halictus","ligatus","","m","Ascher","",2011-11-11,"bee","","ERAN","Erigeron","annuus","no","CLW","40.667605","-75.047923"
"122","NAT.CIG2011_681","2011","6","28","2",2011-06-28,"HP","PM","4","T","L","Lasioglossum","imitatum","",NA,NA,"",2011-11-11,"bee","","ERAN","Erigeron","annuus","no","CLW","40.667605","-75.047923"
"123","NAT.CIG2011_682","2011","6","28","2",2011-06-28,"HP","PM","4","T","L","Halictus","ligatus","","f","Ascher","",2011-11-11,"bee","","ECPU","Echinacea","purpurea","yes","CLW","40.667605","-75.047923"
